"","seqnames","start","end","width","strand","gene_id"
"1","chr9",20866837,20872369,5533,"-","100009600"
"2","chr7",92088679,92112519,23841,"-","100009609"
"3","chr10",77174202,77174754,553,"+","100009614"
"4","chr4",143747459,143752554,5096,"-","100012"
"5","chr4",134301327,134323919,22593,"-","100017"
"6","chr4",32744094,32862192,118099,"+","100019"
"7","chr1",175603811,175628523,24713,"+","100033459"
"8","chr11",83517558,83519771,2214,"+","100034251"
"9","chr2",121287402,121299759,12358,"-","100034361"
"10","chr16",36359468,36367656,8189,"-","100034684"
"11","chr11",68715137,68718036,2900,"+","100034726"
"12","chrX",144923492,144955989,32498,"+","100034729"
"13","chr2",17948876,17952204,3329,"+","100034739"
"14","chr13",23341107,23342192,1086,"+","100036518"
"15","chr6",8209288,8409469,200182,"+","100036521"
"16","chr9",49326393,49376130,49738,"+","100036537"
"17","chr14",119337154,119380924,43771,"+","100037258"
"18","chr1",94830120,94847167,17048,"-","100037260"
"19","chr11",98659623,98671403,11781,"-","100037262"
"20","chr8",74121545,74132048,10504,"+","100037278"
"21","chr17",7109065,7152705,43641,"-","100037282"
"22","chr17",8321181,8334669,13489,"-","100037283"
"23","chr7",4077942,4088528,10587,"-","100037396"
"24","chr7",80885193,80921805,36613,"+","100038347"
"25","chr2",6053915,6061616,7702,"+","100038358"
"26","chrX",93435265,93438981,3717,"+","100038363"
"27","chr13",21596185,21598393,2209,"-","100038371"
"28","chr17",13397908,13399077,1170,"+","100038394"
"29","chr18",57095914,57100172,4259,"+","100038410"
"30","chr18",62767194,62901041,133848,"-","100038417"
"31","chr2",109742553,109753476,10924,"-","100038454"
"32","chr9",44915259,44943689,28431,"-","100038468"
"33","chr17",15487777,15491425,3649,"-","100038481"
"34","chrX",140891125,140911606,20482,"+","100038527"
"35","chr13",67005850,67010102,4253,"+","100038538"
"36","chr8",12706944,12719127,12184,"-","100038554"
"37","chr11",116514848,116529703,14856,"+","100038570"
"38","chr13",41961284,42008461,47178,"+","100038577"
"39","chrX",96600670,96639136,38467,"-","100038584"
"40","chr4",138731322,138736570,5249,"-","100038595"
"41","chr11",96308213,96325861,17649,"-","100038600"
"42","chr3",146030117,146041908,11792,"-","100038607"
"43","chr15",10530048,10541406,11359,"+","100038608"
"44","chr11",24621006,24630722,9717,"-","100038617"
"45","chr16",27850016,27926214,76199,"+","100038623"
"46","chr13",67379530,67384297,4768,"+","100038627"
"47","chr19",43913293,43915335,2043,"+","100038628"
"48","chrX",65920689,65931574,10886,"-","100038638"
"49","chr1",164577374,164588350,10977,"-","100038657"
"50","chr11",66719134,66760588,41455,"-","100038666"
"51","chr12",118382996,118389742,6747,"-","100038689"
"52","chr4",141640213,141644016,3804,"+","100038693"
"53","chr10",97144048,97429724,285677,"-","100038699"
"54","chr16",90142482,90147072,4591,"+","100038709"
"55","chr1",193960780,193974907,14128,"+","100038712"
"56","chr17",79905389,79909826,4438,"-","100038718"
"57","chr14",80260328,80268983,8656,"-","100038734"
"58","chr2",66278937,66385529,106593,"+","100038743"
"59","chr10",22122619,22127276,4658,"+","100038752"
"60","chr14",3500820,6964661,3463842,"+","100038846"
"61","chr14",7838629,8147551,308923,"-","100038847"
"62","chr16",36321751,36334418,12668,"-","100038854"
"63","chr17",33313361,33314308,948,"+","100038859"
"64","chr17",33336007,33336954,948,"+","100038860"
"65","chr17",34514077,34522973,8897,"+","100038862"
"66","chr4",155573533,155574927,1395,"-","100038882"
"67","chr7",3835814,3849722,13909,"-","100038909"
"68","chr7",17234379,17242827,8449,"-","100038912"
"69","chr7",46511994,46519904,7911,"-","100038914"
"70","chr8",22274329,22275277,949,"+","100038927"
"71","chrX",121240948,121249519,8572,"-","100038941"
"72","chr3",15503102,15748436,245335,"-","100038947"
"73","chr4",60148805,60434824,286020,"-","100038948"
"74","chr12",89099798,89104138,4341,"+","100038982"
"75","chr4",42339259,42349747,10489,"+","100038993"
"76","chr4",60591133,60889318,298186,"-","100039008"
"77","chr4",60671339,60675267,3929,"-","100039028"
"78","chrX",25628009,26362795,734787,"-","100039030"
"79","chr12",89112520,89116307,3788,"+","100039042"
"80","chr3",40657398,40659203,1806,"-","100039043"
"81","chr5",26408712,26415804,7093,"-","100039045"
"82","chr12",89131278,89135166,3889,"+","100039052"
"83","chr4",60732254,60889318,157065,"-","100039054"
"84","chrX",25714103,25737170,23068,"-","100039065"
"85","chr4",60885339,61256864,371526,"-","100039089"
"86","chr4",60885339,61335128,449790,"-","100039116"
"87","chrX",26099904,26129764,29861,"-","100039120"
"88","chr7",46843888,46847072,3185,"+","100039133"
"89","chr15",3230627,3253526,22900,"-","100039139"
"90","chr4",60079341,61256864,1177524,"-","100039150"
"91","chr4",61177544,61256864,79321,"-","100039206"
"92","chr8",79272986,79424072,151087,"-","100039211"
"93","chr14",26938341,27088920,150580,"+","100039227"
"94","chr14",26802491,26809652,7162,"+","100039293"
"95","chr12",89414033,89420338,6306,"-","100039315"
"96","chrX",114128366,114128713,348,"+","100039319"
"97","chr18",80738631,80741285,2655,"-","100039348"
"98","chrX",140987301,140990782,3482,"-","100039436"
"99","chr6",147128763,147156816,28054,"+","100039641"
"100","chr10",17848828,17930696,81869,"-","100039660"
"101","chr4",43596088,43597366,1279,"-","100039672"
"102","chr3",51363679,51371038,7360,"+","100039684"
"103","chr9",88583443,88614636,31194,"-","100039707"
"104","chr6",147638763,147650896,12134,"+","100039727"
"105","chrY_random",54420149,54423069,2921,"+","100039753"
"106","chr4",43740070,43740982,913,"+","100039781"
"107","chr1",168184270,168246963,62694,"+","100039795"
"108","chr11",48798831,48877714,78884,"-","100039796"
"109","chr8",48907497,48908159,663,"+","100039801"
"110","chr5",148230196,148234620,4425,"+","100039805"
"111","chr4",42349017,42351113,2097,"-","100039863"
"112","chr4",131864593,131866939,2347,"+","100039864"
"113","chrX",34826612,34831313,4702,"+","100039913"
"114","chrX",144615267,144789273,174007,"+","100039934"
"115","chrX",34868166,34872882,4717,"+","100039948"
"116","chr19",8848975,8851452,2478,"+","100039957"
"117","chr4",126801060,126806888,5829,"+","100039968"
"118","chrX",34784987,34956316,171330,"+","100040016"
"119","chr7",152391723,152394024,2302,"-","100040049"
"120","chrY_random",16925233,16925990,758,"+","100040160"
"121","chr16",89015522,89016091,570,"+","100040201"
"122","chr6",40945821,40949478,3658,"-","100040208"
"123","chrY_random",9452830,9455268,2439,"-","100040223"
"124","chr6",41392213,41396096,3884,"-","100040233"
"125","chr11",99519256,99520273,1018,"-","100040248"
"126","chr9",14649688,14650215,528,"-","100040259"
"127","chr4",43847624,43849389,1766,"-","100040268"
"128","chr11",99633028,99634227,1200,"-","100040276"
"129","chr8",89996711,90049453,52743,"+","100040294"
